,Unnamed: 0_x,Date,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,Unnamed: 0_y,avg_adj_1_change,avg_adj_7_change,avg_adj_30_change,avg_adj_90_change
33,33,2022-01-14,12.952,13.32,12.66,13.2,13.2,32460700,12.06,13.3,13.08,6.6,-0.0863636363636363,-0.0424766018718502,0.039745627980922,-0.0503597122302158,2601.0,-0.050632967255853,-0.0054163379168777,0.0803082021654973,-0.0469445997226808
34,34,2022-01-18,12.8,13.11,12.02,12.06,12.06,50314700,13.71,12.76,12.18,6.39,0.1368159203980099,-0.0406015037593985,-0.0688073394495413,-0.0318181818181818,2605.0,0.0255601091688347,-0.0130790598846416,-0.0624440561145645,-0.0291622458205541
35,35,2022-01-19,14.37,14.39,13.37,13.71,13.71,186755800,15.0,12.58,11.39,6.55,0.0940919037199123,-0.0141065830721003,-0.0648604269293924,0.0250391236306728,2606.0,0.0107202811549507,0.0127746609297711,-0.0317973843888295,0.0491707128421928
36,36,2022-01-20,14.27,16.469999,14.01,15.0,15.0,268936000,13.89,11.36,10.26,6.29,-0.0739999999999999,-0.09697933227345,-0.0992098331870061,-0.0396946564885496,2607.0,-0.0713567740007792,-0.1140838331588755,-0.0486331776894316,-0.0497938356093809
37,37,2022-01-21,14.985,14.985,13.64,13.89,13.89,135687400,13.3,11.1,9.82,6.15,-0.0424766018718502,-0.0228873239436619,-0.0428849902534113,-0.0222575516693163,2608.0,-0.0054163379168777,0.0514059325989927,-0.0377180155024514,-0.0280469400283821
38,38,2022-01-24,13.01,13.35,11.83,13.3,13.3,136949000,12.76,12.48,10.33,6.45,-0.0406015037593985,0.1243243243243243,0.0519348268839103,0.048780487804878,2611.0,-0.0130790598846416,0.0912384231376824,0.0824954024468305,0.0887895610186422
39,39,2022-01-25,12.746,13.45,12.58,12.76,12.76,72818300,12.58,13.27,10.67,6.12,-0.0141065830721003,0.0633012820512819,0.0329138431752178,-0.0511627906976743,2612.0,0.0127746609297711,0.0457123847172433,0.0205441402215188,-0.0573172059159862
40,40,2022-01-26,13.14,13.86,12.45,12.58,12.58,83654000,11.36,12.16,11.45,6.33,-0.09697933227345,-0.0836473247927656,0.0731021555763822,0.0343137254901961,2613.0,-0.1140838331588755,-0.077203625317232,0.0548340544460189,0.0537636092132117
41,41,2022-01-27,12.72,12.79,11.27,11.36,11.36,83981800,11.1,11.57,11.2,6.4,-0.0228873239436619,-0.0485197368421052,-0.0218340611353712,0.0110584518167458,2614.0,0.0514059325989927,-0.0505865740140668,-0.0435557325278301,0.0059428723812175
42,42,2022-01-28,11.34,11.34,10.51,11.1,11.1,78767700,12.48,11.89,11.58,7.14,0.1243243243243243,0.0276577355229041,0.0339285714285715,0.1156249999999998,2615.0,0.0912384231376824,0.0286224559880692,0.0341253439559398,0.0734791922318692
43,43,2022-01-31,11.2,12.495,11.05,12.48,12.48,73077100,13.27,11.72,10.69,6.83,0.0633012820512819,-0.0142977291841883,-0.0768566493955095,-0.0434173669467786,2618.0,0.0457123847172433,-0.0056565544386377,-0.0485126896657917,-0.0723804069690728
44,44,2022-02-01,12.682,13.55,12.37,13.27,13.27,89022400,12.16,12.13,10.0,6.44,-0.0836473247927656,0.0349829351535835,-0.0645463049579045,-0.0571010248901903,2619.0,-0.077203625317232,0.0315840747384981,-0.0856748745135624,-0.0495986293988431
45,45,2022-02-02,13.03,13.06,11.9,12.16,12.16,73581200,11.57,12.86,9.62,5.97,-0.0485197368421052,0.0601813685078316,-0.038,-0.0729813664596273,2620.0,-0.0505865740140668,0.0765326881250018,-0.0774822348467363,-0.0941547500674227
46,46,2022-02-03,11.77,12.22,11.38,11.57,11.57,55485600,11.89,12.39,9.72,5.25,0.0276577355229041,-0.0365474339035768,0.0103950103950105,-0.1206030150753768,2621.0,0.0286224559880692,-0.0741533043962157,0.0016788433916731,-0.151754099092561
47,47,2022-02-04,11.54,12.075,11.16,11.89,11.89,46870800,11.72,12.4,9.87,5.49,-0.0142977291841883,0.0008071025020177,0.0154320987654319,0.0457142857142858,2622.0,-0.0056565544386377,-0.0595877644837285,0.0464664313915704,-0.0666957947872516
48,48,2022-02-07,11.932,12.4,11.662,11.72,11.72,37906200,12.13,12.0,9.41,5.66,0.0349829351535835,-0.0322580645161291,-0.0466058763931103,0.0309653916211292,2625.0,0.0315840747384981,-0.0131303281255464,-0.030134485426412,0.0848260863806308
49,49,2022-02-08,11.72,12.15,11.53,12.13,12.13,32936100,12.86,12.58,8.55,6.75,0.0601813685078316,0.0483333333333333,-0.0913921360255046,0.1925795053003534,2626.0,0.0765326881250018,0.0411398906364584,-0.0861175850265586,0.1484760953077367
50,50,2022-02-09,12.41,12.99,12.19,12.86,12.86,47536700,12.39,13.08,7.93,6.91,-0.0365474339035768,0.039745627980922,-0.072514619883041,0.0237037037037037,2627.0,-0.0741533043962157,0.0803082021654973,-0.0610410490483832,-0.0169918838184598
51,51,2022-02-10,12.425,13.41,12.29,12.39,12.39,57391400,12.4,12.18,8.2,7.05,0.0008071025020177,-0.0688073394495413,0.0340479192938207,0.0202604920405209,2628.0,-0.0595877644837285,-0.0624440561145645,0.0420848671836333,0.0815844606255126
52,52,2022-02-11,12.725,13.25,12.29,12.4,12.4,76947100,12.0,11.39,8.57,7.23,-0.0322580645161291,-0.0648604269293924,0.0451219512195122,0.025531914893617,2629.0,-0.0131303281255464,-0.0317973843888295,0.0867238971072588,-0.0131258634912651
53,53,2022-02-14,12.588,12.87,11.92,12.0,12.0,73358600,12.58,10.26,8.91,7.75,0.0483333333333333,-0.0992098331870061,0.0396732788798133,0.0719225449515905,2632.0,0.0411398906364584,-0.0486331776894316,0.0568371088686532,0.039699894698851
54,54,2022-02-15,12.26,12.637,11.97,12.58,12.58,51170300,13.08,9.82,9.87,7.49,0.039745627980922,-0.0428849902534113,0.1077441077441077,-0.0335483870967742,2633.0,0.0803082021654973,-0.0377180155024514,0.0680662870193639,-0.0495693833521666
55,55,2022-02-16,12.61,13.28,12.603,13.08,13.08,58488200,12.18,10.33,9.57,7.27,-0.0688073394495413,0.0519348268839103,-0.0303951367781154,-0.0293724966622164,2634.0,-0.0624440561145645,0.0824954024468305,-0.0061331426482413,-0.0085536119040975
56,56,2022-02-17,12.91,13.17,12.15,12.18,12.18,44690000,11.39,10.67,9.72,6.72,-0.0648604269293924,0.0329138431752178,0.0156739811912225,-0.0756533700137551,2635.0,-0.0317973843888295,0.0205441402215188,0.0212403349196433,-0.0840686892834622
57,57,2022-02-18,12.174,12.23,11.17,11.39,11.39,59994500,10.26,11.45,9.37,7.01,-0.0992098331870061,0.0731021555763822,-0.036008230452675,0.0431547619047618,2636.0,-0.0486331776894316,0.0548340544460189,-0.0362841975157345,0.0630732671773914
58,58,2022-02-22,11.03,11.16,10.19,10.26,10.26,76018700,9.82,11.2,9.47,7.14,-0.0428849902534113,-0.0218340611353712,0.0106723585912487,0.0185449358059914,2640.0,-0.0377180155024514,-0.0435557325278301,0.0026146914318361,0.0737829552494445
59,59,2022-02-23,10.679,10.69,9.82,9.82,9.82,62010000,10.33,11.58,9.01,7.55,0.0519348268839103,0.0339285714285715,-0.0485744456177402,0.057422969187675,2641.0,0.0824954024468305,0.0341253439559398,-0.0477611488624104,0.0830384411415371
60,60,2022-02-24,8.86,10.38,8.82,10.33,10.33,76026500,10.67,10.69,9.25,7.48,0.0329138431752178,-0.0768566493955095,0.0266370699223086,-0.0092715231788078,2642.0,0.0205441402215188,-0.0485126896657917,0.0237974618086237,-0.0096784013486713
61,61,2022-02-25,10.47,10.72,9.97,10.67,10.67,46588100,11.45,10.0,10.14,7.05,0.0731021555763822,-0.0645463049579045,0.0962162162162163,-0.0574866310160429,2643.0,0.0548340544460189,-0.0856748745135624,0.0878861881954307,-0.0619377120699128
62,62,2022-02-28,10.68,11.76,10.67,11.45,11.45,64380500,11.2,9.62,9.77,7.42,-0.0218340611353712,-0.038,-0.0364891518737673,0.052482269503546,2646.0,-0.0435557325278301,-0.0774822348467363,-0.0362838726277156,0.0636076403219795
63,63,2022-03-01,11.96,11.98,11.2,11.2,11.2,107850300,11.58,9.72,9.45,6.98,0.0339285714285715,0.0103950103950105,-0.0327533265097236,-0.0592991913746629,2647.0,0.0341253439559398,0.0016788433916731,-0.0181983365627022,-0.0380498192469542
