,Graph,"Sep 25, 2022","Aug 25, 2022","Jul 25, 2022","Jun 25, 2022","May 25, 2022","Apr 25, 2022","Mar 25, 2022","Feb 25, 2022","Jan 25, 2022","Dec 25, 2021","Nov 25, 2021","Oct 25, 2021","Sep 25, 2021","Aug 25, 2021","Jul 25, 2021","Jun 25, 2021","May 25, 2021","Apr 25, 2021","Mar 25, 2021","Feb 25, 2021","Jan 25, 2021","Dec 25, 2020","Nov 25, 2020","Oct 25, 2020","Sep 25, 2020","Aug 25, 2020","Jul 25, 2020","Jun 25, 2020","May 25, 2020","Apr 25, 2020","Mar 25, 2020","Feb 01, 2020"
3mo CDR,,4.73,4.47,3.35,2.57,3.13,2.87,3.61,3.51,3.87,3.34,3.27,3.11,3.28,3.33,3.44,4.04,4.04,3.91,3.38,3.01,3.35,3.13,2.73,2.23,2.09,1.56,0.79,0.27,0.06,-,-,-
6mo CDR,,3.66,3.80,3.11,3.09,3.32,3.37,3.48,3.39,3.49,3.31,3.30,3.28,3.66,3.69,3.67,3.71,3.53,3.63,3.26,2.87,2.79,2.61,2.15,1.51,1.18,0.82,-,-,-,-,-,-
12mo CDR,,3.57,3.60,3.30,3.20,3.31,3.32,3.57,3.54,3.58,3.51,3.42,3.45,3.46,3.28,3.23,3.16,2.84,2.58,2.22,1.85,-,-,-,-,-,-,-,-,-,-,-,-
Life CDR,,2.95,2.92,2.80,2.76,2.75,2.73,2.78,2.70,2.71,2.67,2.58,2.54,2.56,2.47,2.44,2.43,2.29,2.22,2.06,1.85,1.76,1.65,1.46,1.15,1.01,0.82,0.50,0.20,0.06,0.06,0.00,-
Delinq 30-59,,0.95,1.07,0.36,0.32,0.67,0.68,0.39,0.35,0.25,0.47,0.40,0.31,0.41,0.29,0.51,0.43,0.38,0.33,0.35,0.41,0.38,0.45,0.36,0.27,0.31,0.32,0.26,0.17,0.19,0.18,0.06,-
Delinq 60-89,,0.53,0.39,0.26,0.50,0.43,0.33,0.30,0.19,0.38,0.36,0.19,0.39,0.33,0.40,0.24,0.26,0.32,0.30,0.34,0.29,0.39,0.35,0.21,0.32,0.29,0.22,0.14,0.16,0.16,0.07,0.00,-
Delinq 90-119,,0.46,0.31,0.49,0.51,0.37,0.29,0.20,0.31,0.32,0.26,0.30,0.31,0.34,0.24,0.33,0.31,0.29,0.30,0.38,0.39,0.31,0.18,0.23,0.23,0.20,0.11,0.16,0.16,0.07,0.00,0.00,-
Delinq 30+,,2.12,1.99,1.48,1.51,1.58,1.39,0.94,1.00,1.01,1.21,1.13,1.19,1.15,1.17,1.30,1.12,1.12,1.07,1.22,1.28,1.18,1.11,0.96,0.95,0.88,0.78,0.64,0.53,0.42,0.24,0.06,-
Delinq 60+,,1.16,0.93,1.12,1.18,0.91,0.72,0.55,0.65,0.76,0.74,0.74,0.88,0.74,0.88,0.79,0.68,0.74,0.74,0.87,0.87,0.80,0.66,0.61,0.68,0.57,0.46,0.38,0.36,0.23,0.07,0.00,-
Delinq 90+,,0.63,0.54,0.85,0.68,0.48,0.38,0.24,0.46,0.39,0.38,0.54,0.49,0.40,0.48,0.56,0.43,0.42,0.44,0.53,0.59,0.41,0.31,0.40,0.36,0.28,0.24,0.24,0.19,0.07,0.00,0.00,-
