,Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-D,C/E-D,CCY-D,CPN-D,DR-D,FI-D,GDNC-D,KR-D,LTV-D,MO-D,PRICE-D,SP-D,SPRD-D,SZE(M)-D,TYPE-D,WAL-D,YLD-D,CPN-A-change,CPN-B-change,CPN-C-change,CPN-D-change,PRICE-A-change,PRICE-B-change,PRICE-C-change,PRICE-D-change,SPRD-A-change,SPRD-B-change,SPRD-C-change,SPRD-D-change,SZE(M)-A-change,SZE(M)-B-change,SZE(M)-C-change,SZE(M)-D-change,WAL-A-change,WAL-B-change,WAL-C-change,WAL-D-change,YLD-A-change,YLD-B-change,YLD-C-change,YLD-D-change
20,2021-07-22,485.65,EDSF,-,USD,0.0083,A,-,70-75,A-,-,A3,99.99313,-,65.0,352.762,Fixed,1.24,0.0084,Swaps,-,USD,0.0166,BBB (L),-,120-130,BBB-,-,Baa3,99.97603,-,120.0,59.219,Fixed,2.99,0.0167,Swaps,-,USD,0.032799999999999996,NR,-,280-300,BB-,-,NR,99.99782,-,270.0,73.669,Fixed,3.72,0.033,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.010200000000000002,,,,-0.006870000000006371,99.97603,99.99782,0.0,65.0,120.0,270.0,0.0,270.61,59.219,73.669,0.0,-0.52,2.99,3.72,0.0,-0.010100000000000003,,,
21,2021-08-05,74.226,YLD,38.00%,USD,0.018500000000000003,BBB (L),-,-,BBB-,-,E,100.0,-,0.0,74.226,Fixed,1.76,0.018500000000000003,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.010200000000000002,,,,0.006870000000006371,-99.97603,-99.99782,0.0,-65.0,-120.0,-270.0,0.0,-278.536,-59.219,-73.669,0.0,0.52,-2.99,-3.72,0.0,0.010100000000000003,,,
22,2021-09-09,80.398,YLD,33.00%,USD,0.0175,BBB (L),-,-,BBB,-,E,100.0,-,0.0,80.398,Fixed,1.75,0.0175,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0010000000000000009,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.171999999999997,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,-0.0010000000000000009,,,
23,2021-09-17,671.36,EDSF,-,USD,0.0084,A,-,70-75,A,-,A3,99.98767,-,65.0,498.355,Fixed,1.3,0.0085,Swaps,-,USD,0.0184,BBB (L),-,125-135,BBB-,-,NR,99.9843,-,120.0,108.151,Fixed,3.27,0.018500000000000003,Swaps,-,USD,0.0319,NR,-,250-270,BB,-,NR,99.97913,-,245.0,64.854,Fixed,3.82,0.0322,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.009100000000000002,,,,-0.012330000000005725,99.9843,99.97913,0.0,65.0,120.0,245.0,0.0,417.957,108.151,64.854,0.0,-0.44999999999999996,3.27,3.82,0.0,-0.009000000000000001,,,
24,2021-10-07,83.384,YLD,30.00%,USD,0.017,-,-,-,BBB-,-,E,100.0,-,0.0,83.384,Fixed,1.81,0.017,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.008600000000000002,,,,0.012330000000005725,-99.9843,-99.97913,0.0,-65.0,-120.0,-245.0,0.0,-414.971,-108.151,-64.854,0.0,0.51,-3.27,-3.82,0.0,0.0085,,,
25,2021-11-17,521.503,EDSF,-,USD,0.0131,A,-,100a,A-,-,A3,99.78771,-,100.0,398.562,Fixed,1.32,0.0148,Swaps,-,USD,0.024900000000000002,BBB (L),-,175a,BBB-,-,NR,98.93941,-,175.0,66.779,Fixed,3.26,0.0285,Swaps,-,USD,0.0415,NR,-,300a,BB-,-,NR,99.96803,-,300.0,56.162,Fixed,3.81,0.042,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0039000000000000007,,,,-0.21228999999999587,98.93941,99.96803,0.0,100.0,175.0,300.0,0.0,315.178,66.779,56.162,0.0,-0.49,3.26,3.81,0.0,-0.0022000000000000006,,,
26,2021-12-01,186.085,YLD,30.00%,USD,0.0225,-,-,-,BBB-,-,E,100.0,-,0.0,186.085,Fixed,1.84,0.0225,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.009399999999999999,,,,0.21228999999999587,-98.93941,-99.96803,0.0,-100.0,-175.0,-300.0,0.0,-212.477,-66.779,-56.162,0.0,0.52,-3.26,-3.81,0.0,0.0076999999999999985,,,
27,2022-01-20,86.166,YLD,30.00%,USD,0.026000000000000002,-,-,-,BBB-,-,E,100.0,-,0.0,86.166,Fixed,1.72,0.026000000000000002,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.003500000000000003,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.91900000000001,0.0,0.0,0.0,-0.1200000000000001,0.0,0.0,0.0,0.003500000000000003,,,
28,2022-03-11,102.342,YLD,32.00%,USD,0.038,-,-,-,BBB-,-,E,100.0,-,0.0,102.342,Fixed,1.71,0.038,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.011999999999999997,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.176000000000002,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.011999999999999997,,,
29,2022-03-29,435.48,EDSF,-,USD,0.031200000000000002,A,-,-,A-,-,A2,99.17325,-,150.0,320.628,Fixed,1.33,0.038,Swaps,-,USD,0.044800000000000006,BBB,-,-,BBB-,-,Baa3,97.79301,-,260.0,55.159,Fixed,3.21,0.0529,Swaps,-,USD,0.0571,NR,-,-,BB-,-,NR,95.51438,-,450.0,59.693,Fixed,3.83,0.07150000000000001,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.006799999999999997,,,,-0.8267500000000041,97.79301,95.51438,0.0,150.0,260.0,450.0,0.0,218.286,55.159,59.693,0.0,-0.3799999999999999,3.21,3.83,0.0,0.0,,,
30,2022-04-08,83.384,YLD,30.00%,USD,0.043,-,-,-,BBB-,-,E,100.0,-,0.0,83.384,Fixed,1.66,0.043,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.011799999999999995,,,,0.8267500000000041,-97.79301,-95.51438,0.0,-150.0,-260.0,-450.0,0.0,-237.24399999999997,-55.159,-59.693,0.0,0.32999999999999985,-3.21,-3.83,0.0,0.0049999999999999975,,,
31,2022-05-03,112.026,YLD,-,USD,0.0425,-,-,-,BBB-,-,E,99.14517,-,0.0,112.026,Fixed,1.57,0.048799999999999996,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0004999999999999935,,,,-0.8548300000000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.641999999999996,0.0,0.0,0.0,-0.08999999999999986,0.0,0.0,0.0,0.0058,,,
32,2022-05-26,545.21,I-Curve,-,USD,0.0437,-,-,265a,A-,-,A1,99.57982,-,280.0,365.638,Fixed,1.08,0.0482,I-Curve,-,USD,0.061,-,-,400a,NR,-,A3,98.91529,-,400.0,72.738,Fixed,2.8,0.0661,YLD,-,USD,0.0843,-,-,550-570,NR,-,Ba3,99.47659,-,0.0,106.834,Fixed,3.71,0.0875,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0011999999999999997,,,,0.43465000000000487,98.91529,99.47659,0.0,280.0,400.0,0.0,0.0,253.61199999999997,72.738,106.834,0.0,-0.49,2.8,3.71,0.0,-0.0005999999999999964,,,
33,2022-08-16,179.041,I-Curve,-,USD,0.059800000000000006,-,-,-,E,-,A3,99.99496,-,280.0,152.185,Fixed,1.61,0.060599999999999994,I-Curve,-,USD,0.0868,-,-,-,E,-,Ba2,99.97504,-,575.0,26.856,Fixed,3.86,0.0885,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.016100000000000003,0.025800000000000003,,,0.41514000000000806,1.0597500000000082,-99.47659,0.0,0.0,175.0,0.0,0.0,-213.45299999999997,-45.882,-106.834,0.0,0.53,1.06,-3.71,0.0,0.012399999999999994,0.02239999999999999,,
34,2022-10-05,258.756,I-Curve,40.50%,USD,0.0,-,-,-,E,-,A2,99.81273,-,325.0,189.333,Fixed,0.84,0.0736,I-Curve,28.50%,USD,0.0,-,-,-,E,-,Baa2,0.0,-,0.0,37.867,Fixed,2.56,0.0,I-Curve,18.50%,USD,0.0,-,-,-,E,-,Ba3,0.0,-,0.0,31.556,Fixed,3.31,0.0,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.059800000000000006,-0.0868,,,-0.1822300000000041,-99.97504,0.0,0.0,45.0,-575.0,0.0,0.0,37.147999999999996,11.010999999999996,31.556,0.0,-0.7700000000000001,-1.2999999999999998,3.31,0.0,0.013000000000000005,-0.0885,,
