,Unnamed: 0_x,Date,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,avg_adj_1_change,avg_adj_7_change,avg_adj_30_change,avg_adj_90_change,d1_Vol,d7_Vol,d30_Vol,d90_Vol,d1_BenchVol,d7_BenchVol,d30_BenchVol,d90_BenchVol,d1_ExcessVol,d7_ExcessVol,d30_ExcessVol,d90_ExcessVol,Unnamed: 0_y
15,15,2021-12-20,14.48,15.21,14.28,14.59,14.59,31658600,14.97,14.85,13.89,9.01,0.026045236463331,-0.0350877192982457,-0.0739999999999999,-0.0485744456177402,0.0578856639682686,-0.0431766715882661,-0.0713567740007792,-0.0477611488624104,0.0006783543424308,0.0012311480455524,0.0054759999999999,0.0023594767670708,0.0033507500930473,0.0018642249694409,0.0050917891957982,0.0022811273406573,-0.0026723957506164,-0.0006330769238885,0.0003842108042017,7.834942641347367e-05,2576.0
16,16,2021-12-21,14.87,15.17,14.72,14.97,14.97,27695600,14.99,14.47,13.3,9.25,0.0013360053440214,-0.0255892255892254,-0.0424766018718502,0.0266370699223086,0.002209854448728,-0.0209793233280924,-0.0054163379168777,0.0237974618086237,1.7849102792537397e-06,0.0006548084662562,0.0018042617065796,0.0007095334940459,4.883456684562932e-06,0.0004401320073046,2.9336716429807062e-05,0.0005663191885329,-3.0985464053091926e-06,0.0002146764589516,0.0017749249901498,0.000143214305513,2577.0
17,17,2021-12-22,14.86,15.37,14.73,14.99,14.99,24332100,15.09,15.95,12.76,10.14,0.0066711140760506,0.1022805805114028,-0.0406015037593985,0.0962162162162163,0.0108631190991667,0.0465667261067215,-0.0130790598846416,0.0878861881954307,4.4503763015680455e-05,0.0104613171497495,0.0016484821075244,0.0092575602629656,0.0001180073565626,0.0021684599802984,0.000171061807466,0.0077239820755226,-7.350359354699988e-05,0.0082928571694511,0.0014774203000584,0.001533578187443,2578.0
18,18,2021-12-23,14.981,15.19,14.73,15.09,15.09,19824000,15.39,15.81,12.58,9.77,0.0198807157057654,-0.0087774294670845,-0.0141065830721003,-0.0364891518737673,0.0305106646932838,-0.0182367099453013,0.0127746609297711,-0.0362838726277156,0.0003952428569734,7.704326804964327e-05,0.00019899568597,0.0013314582044668,0.0009309006600259,0.000332577589629,0.0001631919618706,0.0013165194128642,-0.0005356578030525,-0.0002555343215794,3.5803724099446496e-05,1.493879160256598e-05,2579.0
19,19,2021-12-27,15.11,15.49,14.85,15.39,15.39,19826700,14.85,15.68,11.36,9.45,-0.0350877192982457,-0.0082226438962682,-0.09697933227345,-0.0327533265097236,-0.0431766715882661,-0.0103451830957196,-0.1140838331588755,-0.0181983365627022,0.0012311480455524,6.76118726448367e-05,0.0094049908882042,0.0010727803974525,0.0018642249694409,0.0001070228132839,0.0130151209882221,0.0003311794536493,-0.0006330769238885,-3.9410940639125866e-05,-0.0036101301000179,0.0007416009438031,2583.0
20,20,2021-12-28,15.28,15.49,14.67,14.85,14.85,24049700,14.47,15.05,11.1,9.33,-0.0255892255892254,-0.0401785714285714,-0.0228873239436619,-0.0126984126984126,-0.0209793233280924,-0.0393421496518027,0.0514059325989927,0.0014463261881083,0.0006548084662562,0.0016143176020408,0.0005238295973021,0.0001612496850592,0.0004401320073046,0.0015478047392248,0.0026425699063721,2.091859442407885e-06,0.0002146764589516,6.651286281597439e-05,-0.00211874030907,0.0001591578256167,2584.0
21,21,2021-12-29,14.831,14.833,14.18,14.47,14.47,20899600,15.95,14.1,12.48,9.77,0.1022805805114028,-0.0631229235880399,0.1243243243243243,0.0471596998928187,0.0465667261067215,-0.0663429555116114,0.0912384231376824,0.0222345761732284,0.0104613171497495,0.0039845034823015,0.0154565376186997,0.0022240372939807,0.0021684599802984,0.0044013877460156,0.0083244498566507,0.000494376377603,0.0082928571694511,-0.0004168842637141,0.0071320877620489,0.0017296609163776,2585.0
22,22,2021-12-30,14.505,16.35,14.5,15.95,15.95,41348700,15.81,13.78,13.27,9.12,-0.0087774294670845,-0.0226950354609929,0.0633012820512819,-0.0665301944728762,-0.0182367099453013,-0.0137728180971353,0.0457123847172433,-0.056582134363385,7.704326804964327e-05,0.0005150646345757,0.0040070523093359,0.0044262667765987,0.000332577589629,0.0001896905183367,0.0020896221165372,0.0032015379291161,-0.0002555343215794,0.0003253741162389,0.0019174301927986,0.0012247288474825,2586.0
23,23,2021-12-31,15.925,16.49,15.74,15.81,15.81,30798200,15.68,13.74,12.16,8.75,-0.0082226438962682,-0.0029027576197386,-0.0836473247927656,-0.0405701754385964,-0.0103451830957196,-0.0080256393826729,-0.077203625317232,-0.0459409638556561,6.76118726448367e-05,8.426001798950503e-06,0.0069968749449864,0.0016459391351184,0.0001070228132839,6.441088750071024e-05,0.0059603997621235,0.0021105721599867,-3.9410940639125866e-05,-5.5984885701759735e-05,0.0010364751828628,-0.0004646330248682,2587.0
24,24,2022-01-03,16.1,16.129999,15.45,15.68,15.68,27500900,15.05,13.37,11.57,8.12,-0.0401785714285714,-0.0269286754002912,-0.0485197368421052,-0.072,-0.0393421496518027,-0.0250206547443161,-0.0505865740140668,-0.0318539731818839,0.0016143176020408,0.0007251535588142,0.0023541648632271,0.0051839999999999,0.0015478047392248,0.0006260331638342,0.0025590014704806,0.0010146756074721,6.651286281597439e-05,9.912039497998044e-05,-0.0002048366072535,0.0041693243925278,2590.0
