,Unnamed: 0_x,Date,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,avg_adj_1_change,avg_adj_7_change,avg_adj_30_change,avg_adj_90_change,d1_Vol,d7_Vol,d30_Vol,d90_Vol,d1_BenchVol,d7_BenchVol,d30_BenchVol,d90_BenchVol,d1_ExcessVol,d7_ExcessVol,d30_ExcessVol,d90_ExcessVol,Unnamed: 0_y
134,134,2021-06-30,122.0,134.380005,120.110001,124.900002,124.900002,10763500,123.919998,119.75,133.410004,289.769989,-0.0078463089215963,0.0200170183983472,0.1047532443730829,-0.0301235074852179,0.0004157705202305,0.0019108853589409,0.0779961561589874,-0.0320981820717094,6.15645636931217e-05,0.0004006810255597,0.0109732422066868,0.0009074257032119,1.728651254927406e-07,3.651482855014692e-06,0.0060834003755771,0.0010302932923086,6.139169856762896e-05,0.0003970295427047,0.0048898418311096,-0.0001228675890966,2403.0
135,135,2021-07-01,126.0,130.880005,122.68,123.919998,123.919998,5055900,121.209999,120.0,128.679993,296.299988,-0.021868939991429,0.0020876826722338,-0.0354546949867417,0.022535111460421,-0.0116304253126026,0.0272095271145203,0.0008930308568515,0.0245577457951091,0.0004782505363487,4.35841893994526e-06,0.0012570353966028,0.0005078312485335,0.000135266792952,0.0007403583657958,7.975041112889242e-07,0.0006030828785371,0.0003429837433966,-0.0007359999468558,0.0012562378924915,-9.525163000360068e-05,2404.0
136,136,2021-07-02,125.547997,127.885002,118.165001,121.209999,121.209999,4128900,120.0,129.899994,127.980003,307.700012,-0.0099826665290212,0.0824999499999998,-0.0054397733764253,0.0384746016257011,-0.007062634934764,0.0167614314723574,0.0251307094896539,0.0572179525807972,9.965363102964017e-05,0.0068062417500024,2.959113438686551e-05,0.0014802949702564,4.988081222174889e-05,0.0002809455850025,0.0006315525594533,0.0032738940975383,4.977281880789128e-05,0.0065252961649999,-0.0006019614250665,-0.0017935991272819,2405.0
137,137,2021-07-06,122.040001,123.480003,115.893997,120.0,120.0,3391600,117.400002,119.379997,133.169998,307.380005,-0.02166665,-0.0809853540101009,0.0405531714200693,-0.0010399967095224,-0.0264463106905502,-0.0584074063320546,0.0064666659030416,0.0153828710008392,0.0004694437222224,0.0065586275641413,0.0016445597122255,1.0815931558174194e-06,0.0006994073491411,0.0034114251144377,4.181776790156083e-05,0.0002366327202284,-0.0002299636269186,0.0031472024497036,0.0016027419443239,-0.0002355511270726,2409.0
138,138,2021-07-07,120.5,121.540001,114.220001,117.400002,117.400002,2895200,119.75,113.129997,132.130005,311.230011,0.0200170183983472,-0.0523538294275547,-0.0078095142721259,0.0125252324073583,0.0019108853589409,-0.0302731992215272,0.0294181729261716,0.0186001308523395,0.0004006810255597,0.0027409234557294,6.0988513166538125e-05,0.0001568814468583,3.651482855014692e-06,0.0009164665911062,0.0008654288983141,0.0003459648677241,0.0003970295427047,0.0018244568646232,-0.0008044403851475,-0.0001890834208658,2410.0
139,139,2021-07-08,112.57,121.68,110.82,119.75,119.75,2991400,120.0,113.089996,137.190002,310.920013,0.0020876826722338,-0.0003535843813379,0.0382955937979414,-0.0009960414775039,0.0272095271145203,0.0027099852389112,-0.0083269215967118,-0.0104288642293701,4.35841893994526e-06,1.250219147261055e-07,0.0014665525043369,9.92098624908152e-07,0.0007403583657958,7.344019995116594e-06,6.933762327778541e-05,0.0001087612091146,-0.0007359999468558,-7.218998080390489e-06,0.0013972148810591,-0.0001077691104897,2411.0
140,140,2021-07-09,122.949997,123.204002,117.220001,120.0,120.0,3218400,129.899994,113.790001,135.679993,333.049988,0.0824999499999998,0.0061898047993564,-0.0110066985785158,0.071175781791827,0.0167614314723574,-0.0079900404803321,0.0120303513381516,0.0362875887231317,0.0068062417500024,3.831368345413552e-05,0.0001211474135983,0.0050659919136777,0.0002809455850025,6.384074687734563e-05,0.0001447293533193,0.0013167890953391,0.0065252961649999,-2.5527063423210106e-05,-2.358193972106426e-05,0.0037492028183386,2412.0
141,141,2021-07-12,123.621002,130.899994,122.760002,129.899994,129.899994,6942300,119.379997,115.279999,171.199997,344.890015,-0.0809853540101009,0.013094278819806,0.2617924958177142,0.0355503000348405,-0.0584074063320546,-0.0102988386108562,0.0999964224625859,0.0153209084649729,0.0065586275641413,0.0001714601378108,0.0685353108664679,0.0012638238325671,0.0034114251144377,0.0001060660767324,0.0099992845053159,0.000234730236192,0.0031472024497036,6.539406107835755e-05,0.0585360263611519,0.0010290935963751,2415.0
142,142,2021-07-13,128.119995,129.0,118.529999,119.379997,119.379997,5274200,113.129997,117.629997,178.119995,379.679993,-0.0523538294275547,0.0203851320297114,0.0404205497737244,0.1008726738580705,-0.0302731992215272,0.0270547842995163,-0.0017368815561084,0.048168524557165,0.0027409234557294,0.0004155536078687,0.0016338208440101,0.0101752963312766,0.0009164665911062,0.0007319613534933,3.016757539949537e-06,0.0023202067580142,0.0018244568646232,-0.0003164077456245,0.0016308040864701,0.0078550895732624,2416.0
143,143,2021-07-14,120.995003,120.995003,112.019997,113.129997,113.129997,3836000,113.089996,119.150002,203.289993,390.0,-0.0003535843813379,0.0129219165074023,0.1413092224710652,0.027180802755651,0.0027099852389112,0.0344262637269849,0.0305495538281395,0.008598440396301,1.250219147261055e-07,0.0001669759262242,0.019968296355377,0.0007387960384416,7.344019995116594e-06,0.0011851676341999,0.0009332752390983,7.393317724874088e-05,-7.218998080390489e-06,-0.0010181917079756,0.0190350211162786,0.0006648628611928,2417.0
144,144,2021-07-15,111.964996,114.300003,107.260002,113.089996,113.089996,3463300,113.790001,116.910004,200.889999,383.209991,0.0061898047993564,-0.0187998150432259,-0.0118057655695822,-0.0174102794871794,-0.0079900404803321,-0.0205464524097032,-0.0238682708089616,0.0086603189202127,3.831368345413552e-05,0.0003534330456595,0.0001393761006839,0.0003031178318216,6.384074687734563e-05,0.0004221567066241,0.0005696943514099,7.500112379979406e-05,-2.5527063423210106e-05,-6.872366096469571e-05,-0.0004303182507259,0.0002281167080219,2418.0
145,145,2021-07-16,115.290001,115.900002,109.514999,113.790001,113.790001,2148700,115.279999,116.57,200.179993,367.079987,0.013094278819806,-0.0029082541131382,-0.0035343023721156,-0.0420918148765071,-0.0102988386108562,-0.0072160903909281,-0.0179533723546893,-0.0144665559420131,0.0001714601378108,8.457941986585259e-06,1.2491293257541958e-05,0.0017717208795981,0.0001060660767324,5.207196053004486e-05,0.0003223235789061,0.0002092812408233,6.539406107835755e-05,-4.361401854345961e-05,-0.0003098322856485,0.0015624396387747,2419.0
146,146,2021-07-19,109.830002,115.389999,109.199997,115.279999,115.279999,2504100,117.629997,121.82,212.270004,355.820007,0.0203851320297114,0.0450373166337823,0.0603957009829649,-0.0306744589701645,0.0270547842995163,0.0243695051472271,0.020294817142378,-0.0098020092472479,0.0004155536078687,0.0020283598895715,0.0036476406972237,0.0009409224331123,0.0007319613534933,0.0005938727811207,0.0004118796028425,9.607938528313332e-05,-0.0003164077456245,0.0014344871084508,0.0032357610943811,0.0008448430478291,2422.0
147,147,2021-07-20,116.919998,118.300003,113.139999,117.629997,117.629997,1894500,119.150002,115.75,193.869995,354.339996,0.0129219165074023,-0.0498276145132161,-0.0866820966376389,-0.0041594372741383,0.0344262637269849,-0.0206934903482094,-0.0345394029766383,0.0055945106918929,0.0001669759262242,0.0024827911680776,0.0075137858774969,1.7300918437491052e-05,0.0011851676341999,0.0004282205427914,0.0011929703579826,3.129854988170398e-05,-0.0010181917079756,0.0020545706252862,0.0063208155195143,-1.3997631444212924e-05,2423.0
148,148,2021-07-21,118.050003,121.989998,116.580002,119.150002,119.150002,2123900,116.910004,121.790001,195.639999,342.559998,-0.0187998150432259,0.0521814341252699,0.0091298501348804,-0.0332449007534559,-0.0205464524097032,0.0291952604721846,0.0330913234174362,-0.0128591604025925,0.0003534330456595,0.0027229020673698,8.335416348537567e-05,0.0011052234261071,0.0004221567066241,0.0008523632340387,0.0010950356855173,0.0001653580062596,-6.872366096469571e-05,0.0018705388333311,-0.0010116815220319,0.0009398654198475,2424.0
149,149,2021-07-22,120.0,120.746002,115.300003,116.910004,116.910004,1440200,116.57,123.870003,202.960007,359.809998,-0.0029082541131382,0.0170785941614368,0.0374157025016137,0.0503561422837233,-0.0072160903909281,0.1247580898701741,0.0239447068894547,0.0288916331911022,8.457941986585259e-06,0.000291678378531,0.0013999347936892,0.0025357410656985,5.207196053004486e-05,0.0155645809880544,0.0005733489880218,0.0008347264684491,-4.361401854345961e-05,-0.0152729026095233,0.0008265858056673,0.0017010145972493,2425.0
150,150,2021-07-23,116.919998,118.765999,113.809998,116.57,116.57,1327300,121.82,120.760002,219.449997,327.079987,0.0450373166337823,-0.0251069744464282,0.0812474843874044,-0.0909647068784341,0.0243695051472271,-0.0227374374758829,0.0266413665054398,-0.0466192814489572,0.0020283598895715,0.0006303601658535,0.0066011537192815,0.0082745778974794,0.0005938727811207,0.0005169910629696,0.0007097624092771,0.002173357402817,0.0014344871084508,0.0001133691028839,0.0058913913100043,0.0061012204946623,2426.0
